config_name             , M   , N   , K   , kernel, BM, BN, BK, TM, TN, avg_time_ms, avg_gflops, rel_to_cublas_pct
square_256              ,  256,  256,  256, cublas, NA, NA, NA, NA, NA,       0.193,     243.33, 100.00%
square_256              ,  256,  256,  256, naive , 8 , 8 , 1 , 1 , 1 ,       0.108,     312.75, 128.52%
square_256              ,  256,  256,  256, naive , 16, 16, 1 , 1 , 1 ,       0.129,     335.90, 138.04%
square_256              ,  256,  256,  256, naive , 8 , 32, 1 , 1 , 1 ,       0.089,     384.35, 157.95%
square_256              ,  256,  256,  256, naive , 32, 8 , 1 , 1 , 1 ,       0.105,     319.44, 131.27%
square_256              ,  256,  256,  256, naive , 32, 32, 1 , 1 , 1 ,       0.099,     339.61, 139.56%
square_1024             , 1024, 1024, 1024, cublas, NA, NA, NA, NA, NA,       0.576,    3774.40, 100.00%
square_1024             , 1024, 1024, 1024, naive , 8 , 8 , 1 , 1 , 1 ,       5.776,     371.79, 9.85%
square_1024             , 1024, 1024, 1024, naive , 16, 16, 1 , 1 , 1 ,       4.633,     463.54, 12.28%
square_1024             , 1024, 1024, 1024, naive , 8 , 32, 1 , 1 , 1 ,       4.589,     467.99, 12.39%
square_1024             , 1024, 1024, 1024, naive , 32, 8 , 1 , 1 , 1 ,       5.724,     375.15, 9.93%
square_1024             , 1024, 1024, 1024, naive , 32, 32, 1 , 1 , 1 ,       4.974,     431.71, 11.43%
square_4096             , 4096, 4096, 4096, cublas, NA, NA, NA, NA, NA,      30.778,    4473.01, 100.00%
square_4096             , 4096, 4096, 4096, naive , 8 , 8 , 1 , 1 , 1 ,     378.925,     362.85, 8.11%
square_4096             , 4096, 4096, 4096, naive , 16, 16, 1 , 1 , 1 ,     280.280,     490.37, 10.96%
square_4096             , 4096, 4096, 4096, naive , 8 , 32, 1 , 1 , 1 ,     289.082,     475.64, 10.63%
square_4096             , 4096, 4096, 4096, naive , 32, 8 , 1 , 1 , 1 ,     344.264,     399.35, 8.92%
square_4096             , 4096, 4096, 4096, naive , 32, 32, 1 , 1 , 1 ,     274.716,     500.35, 11.18%
nonsquare_4096x1024x8192, 4096, 1024, 8192, cublas, NA, NA, NA, NA, NA,      13.111,    5241.33, 100.00%
nonsquare_4096x1024x8192, 4096, 1024, 8192, naive , 8 , 8 , 1 , 1 , 1 ,     229.782,     299.06, 5.70%
nonsquare_4096x1024x8192, 4096, 1024, 8192, naive , 16, 16, 1 , 1 , 1 ,     144.591,     475.33, 9.06%
nonsquare_4096x1024x8192, 4096, 1024, 8192, naive , 8 , 32, 1 , 1 , 1 ,     144.899,     474.53, 9.05%
nonsquare_4096x1024x8192, 4096, 1024, 8192, naive , 32, 8 , 1 , 1 , 1 ,     171.741,     400.16, 7.63%
nonsquare_4096x1024x8192, 4096, 1024, 8192, naive , 32, 32, 1 , 1 , 1 ,     138.742,     495.33, 9.45%
nonsquare_8192x512x4096 , 8192,  512, 4096, cublas, NA, NA, NA, NA, NA,       7.355,    4671.91, 100.00%
nonsquare_8192x512x4096 , 8192,  512, 4096, naive , 8 , 8 , 1 , 1 , 1 ,      90.651,     379.04, 8.11%
nonsquare_8192x512x4096 , 8192,  512, 4096, naive , 16, 16, 1 , 1 , 1 ,      72.359,     474.87, 10.16%
nonsquare_8192x512x4096 , 8192,  512, 4096, naive , 8 , 32, 1 , 1 , 1 ,      71.949,     477.57, 10.22%
nonsquare_8192x512x4096 , 8192,  512, 4096, naive , 32, 8 , 1 , 1 , 1 ,      87.951,     390.71, 8.36%
nonsquare_8192x512x4096 , 8192,  512, 4096, naive , 32, 32, 1 , 1 , 1 ,      72.453,     474.32, 10.15%
unaligned_1000          , 1000, 1000, 1000, cublas, NA, NA, NA, NA, NA,       0.513,    3974.28, 100.00%
unaligned_1000          , 1000, 1000, 1000, naive , 8 , 8 , 1 , 1 , 1 ,       4.684,     426.99, 10.74%
unaligned_1000          , 1000, 1000, 1000, naive , 16, 16, 1 , 1 , 1 ,       4.314,     463.54, 11.66%
unaligned_1000          , 1000, 1000, 1000, naive , 8 , 32, 1 , 1 , 1 ,       4.394,     455.17, 11.45%
unaligned_1000          , 1000, 1000, 1000, naive , 32, 8 , 1 , 1 , 1 ,       4.341,     460.74, 11.59%
unaligned_1000          , 1000, 1000, 1000, naive , 32, 32, 1 , 1 , 1 ,       4.744,     421.60, 10.60%
unaligned_511x1023x2047 ,  511, 1023, 2047, cublas, NA, NA, NA, NA, NA,       0.561,    3821.88, 100.00%
unaligned_511x1023x2047 ,  511, 1023, 2047, naive , 8 , 8 , 1 , 1 , 1 ,       5.063,     422.70, 11.06%
unaligned_511x1023x2047 ,  511, 1023, 2047, naive , 16, 16, 1 , 1 , 1 ,       4.641,     461.16, 12.06%
unaligned_511x1023x2047 ,  511, 1023, 2047, naive , 8 , 32, 1 , 1 , 1 ,       4.609,     464.34, 12.14%
unaligned_511x1023x2047 ,  511, 1023, 2047, naive , 32, 8 , 1 , 1 , 1 ,       4.627,     462.51, 12.10%
unaligned_511x1023x2047 ,  511, 1023, 2047, naive , 32, 32, 1 , 1 , 1 ,       4.955,     431.90, 11.30%
