config_name             , M   , N   , K   , kernel  , BM , BN , BK, TM, TN, avg_time_ms, avg_gflops, rel_to_cublas_pct
square_256              ,  256,  256,  256, cublas  , NA , NA , NA, NA, NA,       0.121,     353.31, 100.00%
square_256              ,  256,  256,  256, register, 64 , 64 , 8 , 4 , 4 ,       0.074,     456.49, 129.20%
square_256              ,  256,  256,  256, register, 64 , 128, 8 , 4 , 8 ,       0.167,     202.30, 57.25%
square_256              ,  256,  256,  256, register, 128, 128, 8 , 8 , 8 ,       0.199,     168.77, 47.76%
square_256              ,  256,  256,  256, register, 128, 128, 16, 8 , 8 ,       0.191,     175.68, 49.72%
square_1024             , 1024, 1024, 1024, cublas  , NA , NA , NA, NA, NA,       0.565,    3818.79, 100.00%
square_1024             , 1024, 1024, 1024, register, 64 , 64 , 8 , 4 , 4 ,       3.035,     707.57, 18.52%
square_1024             , 1024, 1024, 1024, register, 64 , 128, 8 , 4 , 8 ,       3.959,     542.53, 14.20%
square_1024             , 1024, 1024, 1024, register, 128, 128, 8 , 8 , 8 ,       2.804,     765.89, 20.05%
square_1024             , 1024, 1024, 1024, register, 128, 128, 16, 8 , 8 ,       2.913,     737.25, 19.30%
square_4096             , 4096, 4096, 4096, cublas  , NA , NA , NA, NA, NA,      31.331,    4387.38, 100.00%
square_4096             , 4096, 4096, 4096, register, 64 , 64 , 8 , 4 , 4 ,     163.225,     842.05, 19.19%
square_4096             , 4096, 4096, 4096, register, 64 , 128, 8 , 4 , 8 ,     190.658,     720.98, 16.43%
square_4096             , 4096, 4096, 4096, register, 128, 128, 8 , 8 , 8 ,     120.927,    1136.77, 25.90%
square_4096             , 4096, 4096, 4096, register, 128, 128, 16, 8 , 8 ,     129.546,    1062.12, 24.20%
nonsquare_4096x1024x8192, 4096, 1024, 8192, cublas  , NA , NA , NA, NA, NA,      13.169,    5218.63, 100.00%
nonsquare_4096x1024x8192, 4096, 1024, 8192, register, 64 , 64 , 8 , 4 , 4 ,      87.319,     787.18, 15.08%
nonsquare_4096x1024x8192, 4096, 1024, 8192, register, 64 , 128, 8 , 4 , 8 ,      95.468,     720.04, 13.79%
nonsquare_4096x1024x8192, 4096, 1024, 8192, register, 128, 128, 8 , 8 , 8 ,      67.693,    1015.51, 19.45%
nonsquare_4096x1024x8192, 4096, 1024, 8192, register, 128, 128, 16, 8 , 8 ,      68.025,    1011.13, 19.37%
nonsquare_8192x512x4096 , 8192,  512, 4096, cublas  , NA , NA , NA, NA, NA,       7.295,    4710.29, 100.00%
nonsquare_8192x512x4096 , 8192,  512, 4096, register, 64 , 64 , 8 , 4 , 4 ,      47.651,     721.07, 15.30%
nonsquare_8192x512x4096 , 8192,  512, 4096, register, 64 , 128, 8 , 4 , 8 ,      57.708,     595.40, 12.64%
nonsquare_8192x512x4096 , 8192,  512, 4096, register, 128, 128, 8 , 8 , 8 ,      35.426,     969.89, 20.59%
nonsquare_8192x512x4096 , 8192,  512, 4096, register, 128, 128, 16, 8 , 8 ,      37.022,     928.10, 19.70%
unaligned_1000          , 1000, 1000, 1000, cublas  , NA , NA , NA, NA, NA,       0.496,    4048.03, 100.00%
unaligned_1000          , 1000, 1000, 1000, register, 64 , 64 , 8 , 4 , 4 ,       2.923,     684.26, 16.90%
unaligned_1000          , 1000, 1000, 1000, register, 64 , 128, 8 , 4 , 8 ,       3.859,     518.21, 12.80%
unaligned_1000          , 1000, 1000, 1000, register, 128, 128, 8 , 8 , 8 ,       2.725,     733.98, 18.13%
unaligned_1000          , 1000, 1000, 1000, register, 128, 128, 16, 8 , 8 ,       2.856,     700.49, 17.30%
unaligned_511x1023x2047 ,  511, 1023, 2047, cublas  , NA , NA , NA, NA, NA,       0.624,    3462.11, 100.00%
unaligned_511x1023x2047 ,  511, 1023, 2047, register, 64 , 64 , 8 , 4 , 4 ,       3.233,     662.00, 19.12%
unaligned_511x1023x2047 ,  511, 1023, 2047, register, 64 , 128, 8 , 4 , 8 ,       4.524,     473.01, 13.66%
unaligned_511x1023x2047 ,  511, 1023, 2047, register, 128, 128, 8 , 8 , 8 ,       2.745,     779.50, 22.51%
unaligned_511x1023x2047 ,  511, 1023, 2047, register, 128, 128, 16, 8 , 8 ,       2.843,     752.87, 21.74%
