config_name             , M   , N   , K   , kernel, BM , BN , BK, TM, TN, avg_time_ms, avg_gflops, rel_to_cublas_pct
square_256              ,  256,  256,  256, cublas, NA , NA , NA, NA, NA,       0.111,     336.50, 100.00%
square_256              ,  256,  256,  256, bank  , 64 , 64 , 8 , 4 , 4 ,       0.075,     452.06, 134.34%
square_256              ,  256,  256,  256, bank  , 64 , 128, 8 , 4 , 8 ,       0.179,     189.15, 56.21%
square_256              ,  256,  256,  256, bank  , 128, 128, 8 , 8 , 8 ,       0.199,     168.93, 50.20%
square_256              ,  256,  256,  256, bank  , 128, 128, 16, 8 , 8 ,       0.200,     169.06, 50.24%
square_1024             , 1024, 1024, 1024, cublas, NA , NA , NA, NA, NA,       0.567,    3809.09, 100.00%
square_1024             , 1024, 1024, 1024, bank  , 64 , 64 , 8 , 4 , 4 ,       3.082,     696.79, 18.29%
square_1024             , 1024, 1024, 1024, bank  , 64 , 128, 8 , 4 , 8 ,       3.999,     537.10, 14.10%
square_1024             , 1024, 1024, 1024, bank  , 128, 128, 8 , 8 , 8 ,       3.163,     678.96, 17.82%
square_1024             , 1024, 1024, 1024, bank  , 128, 128, 16, 8 , 8 ,       2.869,     748.55, 19.65%
square_4096             , 4096, 4096, 4096, cublas, NA , NA , NA, NA, NA,      31.174,    4409.27, 100.00%
square_4096             , 4096, 4096, 4096, bank  , 64 , 64 , 8 , 4 , 4 ,     167.668,     819.84, 18.59%
square_4096             , 4096, 4096, 4096, bank  , 64 , 128, 8 , 4 , 8 ,     189.948,     723.58, 16.41%
square_4096             , 4096, 4096, 4096, bank  , 128, 128, 8 , 8 , 8 ,     134.646,    1020.82, 23.15%
square_4096             , 4096, 4096, 4096, bank  , 128, 128, 16, 8 , 8 ,     122.672,    1120.40, 25.41%
nonsquare_4096x1024x8192, 4096, 1024, 8192, cublas, NA , NA , NA, NA, NA,      13.148,    5226.50, 100.00%
nonsquare_4096x1024x8192, 4096, 1024, 8192, bank  , 64 , 64 , 8 , 4 , 4 ,      86.967,     790.32, 15.12%
nonsquare_4096x1024x8192, 4096, 1024, 8192, bank  , 64 , 128, 8 , 4 , 8 ,      95.495,     719.79, 13.77%
nonsquare_4096x1024x8192, 4096, 1024, 8192, bank  , 128, 128, 8 , 8 , 8 ,      71.367,     963.51, 18.43%
nonsquare_4096x1024x8192, 4096, 1024, 8192, bank  , 128, 128, 16, 8 , 8 ,      67.566,    1017.23, 19.46%
nonsquare_8192x512x4096 , 8192,  512, 4096, cublas, NA , NA , NA, NA, NA,       7.340,    4681.64, 100.00%
nonsquare_8192x512x4096 , 8192,  512, 4096, bank  , 64 , 64 , 8 , 4 , 4 ,      48.539,     707.88, 15.12%
nonsquare_8192x512x4096 , 8192,  512, 4096, bank  , 64 , 128, 8 , 4 , 8 ,      55.718,     618.24, 13.20%
nonsquare_8192x512x4096 , 8192,  512, 4096, bank  , 128, 128, 8 , 8 , 8 ,      40.552,     847.30, 18.09%
nonsquare_8192x512x4096 , 8192,  512, 4096, bank  , 128, 128, 16, 8 , 8 ,      36.482,     941.83, 20.11%
unaligned_1000          , 1000, 1000, 1000, cublas, NA , NA , NA, NA, NA,       0.500,    4092.26, 100.00%
unaligned_1000          , 1000, 1000, 1000, bank  , 64 , 64 , 8 , 4 , 4 ,       2.978,     671.64, 16.41%
unaligned_1000          , 1000, 1000, 1000, bank  , 64 , 128, 8 , 4 , 8 ,       3.890,     514.07, 12.56%
unaligned_1000          , 1000, 1000, 1000, bank  , 128, 128, 8 , 8 , 8 ,       3.039,     658.13, 16.08%
unaligned_1000          , 1000, 1000, 1000, bank  , 128, 128, 16, 8 , 8 ,       2.812,     711.37, 17.38%
unaligned_511x1023x2047 ,  511, 1023, 2047, cublas, NA , NA , NA, NA, NA,       0.578,    3728.05, 100.00%
unaligned_511x1023x2047 ,  511, 1023, 2047, bank  , 64 , 64 , 8 , 4 , 4 ,       3.305,     647.47, 17.36%
unaligned_511x1023x2047 ,  511, 1023, 2047, bank  , 64 , 128, 8 , 4 , 8 ,       4.563,     469.05, 12.58%
unaligned_511x1023x2047 ,  511, 1023, 2047, bank  , 128, 128, 8 , 8 , 8 ,       3.196,     669.65, 17.96%
unaligned_511x1023x2047 ,  511, 1023, 2047, bank  , 128, 128, 16, 8 , 8 ,       2.838,     754.08, 20.22%
