config_name             , M   , N   , K   , kernel   , BM , BN , BK, TM, TN, avg_time_ms, avg_gflops, rel_to_cublas_pct
square_256              ,  256,  256,  256, cublas   , NA , NA , NA, NA, NA,       0.000,     318.55, 100.00%
square_256              ,  256,  256,  256, doublebuf, 64 , 64 , 8 , 4 , 4 ,       0.096,     362.71, 113.86%
square_256              ,  256,  256,  256, doublebuf, 64 , 128, 8 , 4 , 8 ,       0.164,     205.47, 64.50%
square_256              ,  256,  256,  256, doublebuf, 128, 128, 8 , 8 , 8 ,       0.217,     156.54, 49.14%
square_256              ,  256,  256,  256, doublebuf, 128, 128, 16, 8 , 8 ,       0.193,     173.63, 54.50%
square_1024             , 1024, 1024, 1024, cublas   , NA , NA , NA, NA, NA,       0.000,    3888.96, 100.00%
square_1024             , 1024, 1024, 1024, doublebuf, 64 , 64 , 8 , 4 , 4 ,       3.057,     702.51, 18.06%
square_1024             , 1024, 1024, 1024, doublebuf, 64 , 128, 8 , 4 , 8 ,       3.978,     539.84, 13.88%
square_1024             , 1024, 1024, 1024, doublebuf, 128, 128, 8 , 8 , 8 ,       3.152,     681.28, 17.51%
square_1024             , 1024, 1024, 1024, doublebuf, 128, 128, 16, 8 , 8 ,       2.884,     744.52, 19.14%
square_4096             , 4096, 4096, 4096, cublas   , NA , NA , NA, NA, NA,       0.000,    4276.65, 100.00%
square_4096             , 4096, 4096, 4096, doublebuf, 64 , 64 , 8 , 4 , 4 ,     167.661,     819.82, 19.16%
square_4096             , 4096, 4096, 4096, doublebuf, 64 , 128, 8 , 4 , 8 ,     191.889,     716.27, 16.74%
square_4096             , 4096, 4096, 4096, doublebuf, 128, 128, 8 , 8 , 8 ,     134.984,    1018.23, 23.80%
square_4096             , 4096, 4096, 4096, doublebuf, 128, 128, 16, 8 , 8 ,     122.048,    1126.28, 26.33%
nonsquare_4096x1024x8192, 4096, 1024, 8192, cublas   , NA , NA , NA, NA, NA,       0.000,    5255.16, 100.00%
nonsquare_4096x1024x8192, 4096, 1024, 8192, doublebuf, 64 , 64 , 8 , 4 , 4 ,      86.967,     790.31, 15.03%
nonsquare_4096x1024x8192, 4096, 1024, 8192, doublebuf, 64 , 128, 8 , 4 , 8 ,      93.870,     732.23, 13.93%
nonsquare_4096x1024x8192, 4096, 1024, 8192, doublebuf, 128, 128, 8 , 8 , 8 ,      71.549,     961.67, 18.29%
nonsquare_4096x1024x8192, 4096, 1024, 8192, doublebuf, 128, 128, 16, 8 , 8 ,      65.971,    1042.67, 19.84%
nonsquare_8192x512x4096 , 8192,  512, 4096, cublas   , NA , NA , NA, NA, NA,       0.000,    4647.27, 100.00%
nonsquare_8192x512x4096 , 8192,  512, 4096, doublebuf, 64 , 64 , 8 , 4 , 4 ,      47.749,     719.58, 15.48%
nonsquare_8192x512x4096 , 8192,  512, 4096, doublebuf, 64 , 128, 8 , 4 , 8 ,      57.674,     595.77, 12.81%
nonsquare_8192x512x4096 , 8192,  512, 4096, doublebuf, 128, 128, 8 , 8 , 8 ,      40.227,     854.15, 18.37%
nonsquare_8192x512x4096 , 8192,  512, 4096, doublebuf, 128, 128, 16, 8 , 8 ,      36.412,     943.63, 20.30%
unaligned_1000          , 1000, 1000, 1000, cublas   , NA , NA , NA, NA, NA,       0.000,    3969.06, 100.00%
unaligned_1000          , 1000, 1000, 1000, doublebuf, 64 , 64 , 8 , 4 , 4 ,       2.989,     669.20, 16.86%
unaligned_1000          , 1000, 1000, 1000, doublebuf, 64 , 128, 8 , 4 , 8 ,       3.886,     514.66, 12.96%
unaligned_1000          , 1000, 1000, 1000, doublebuf, 128, 128, 8 , 8 , 8 ,       3.080,     649.42, 16.36%
unaligned_1000          , 1000, 1000, 1000, doublebuf, 128, 128, 16, 8 , 8 ,       2.825,     707.97, 17.83%
unaligned_511x1023x2047 ,  511, 1023, 2047, cublas   , NA , NA , NA, NA, NA,       0.000,    3624.12, 100.00%
unaligned_511x1023x2047 ,  511, 1023, 2047, doublebuf, 64 , 64 , 8 , 4 , 4 ,       3.254,     657.56, 18.14%
unaligned_511x1023x2047 ,  511, 1023, 2047, doublebuf, 64 , 128, 8 , 4 , 8 ,       4.496,     476.00, 13.13%
unaligned_511x1023x2047 ,  511, 1023, 2047, doublebuf, 128, 128, 8 , 8 , 8 ,       3.086,     693.43, 19.13%
unaligned_511x1023x2047 ,  511, 1023, 2047, doublebuf, 128, 128, 16, 8 , 8 ,       2.823,     758.23, 20.92%
