config_name                  , M   , N   , K   , kernel, BM, BN, BK, TM, TN, avg_time_ms, avg_gflops, rel_to_cublas_pct
square_256                   ,  256,  256,  256, cublas, NA, NA, NA, NA, NA,       0.165,     228.53, 100.00%
square_256_FP16              ,  256,  256,  256, tensor, 64, 64, 16, 16, 16,       0.100,     335.91, 146.98%
square_256_FP32              ,  256,  256,  256, tensor, 64, 64, 16, 16, 16,       0.157,     255.43, 111.77%
square_1024                  , 1024, 1024, 1024, cublas, NA, NA, NA, NA, NA,       0.635,    3424.04, 100.00%
square_1024_FP16             , 1024, 1024, 1024, tensor, 64, 64, 16, 16, 16,       2.108,    1019.53, 29.77%
square_1024_FP32             , 1024, 1024, 1024, tensor, 64, 64, 16, 16, 16,       1.712,    1257.35, 36.72%
square_4096                  , 4096, 4096, 4096, cublas, NA, NA, NA, NA, NA,      28.832,    4767.41, 100.00%
square_4096_FP16             , 4096, 4096, 4096, tensor, 64, 64, 16, 16, 16,      47.962,    2865.68, 60.10%
square_4096_FP32             , 4096, 4096, 4096, tensor, 64, 64, 16, 16, 16,      46.972,    2926.06, 61.37%
nonsquare_4096x1024x8192     , 4096, 1024, 8192, cublas, NA, NA, NA, NA, NA,      13.050,    5266.28, 100.00%
nonsquare_4096x1024x8192_FP16, 4096, 1024, 8192, tensor, 64, 64, 16, 16, 16,      26.230,    2620.13, 49.75%
nonsquare_4096x1024x8192_FP32, 4096, 1024, 8192, tensor, 64, 64, 16, 16, 16,      26.018,    2641.60, 50.16%
nonsquare_8192x512x4096      , 8192,  512, 4096, cublas, NA, NA, NA, NA, NA,       7.320,    4694.18, 100.00%
nonsquare_8192x512x4096_FP16 , 8192,  512, 4096, tensor, 64, 64, 16, 16, 16,      15.744,    2183.05, 46.50%
nonsquare_8192x512x4096_FP32 , 8192,  512, 4096, tensor, 64, 64, 16, 16, 16,      15.230,    2256.71, 48.07%
unaligned_1000               , 1000, 1000, 1000, cublas, NA, NA, NA, NA, NA,       0.631,    3198.00, 100.00%
unaligned_1000_FP16          , 1000, 1000, 1000, tensor, 64, 64, 16, 16, 16,       2.047,     977.76, 30.57%
unaligned_1000_FP32          , 1000, 1000, 1000, tensor, 64, 64, 16, 16, 16,       1.631,    1227.67, 38.38%
unaligned_511x1023x2047      ,  511, 1023, 2047, cublas, NA, NA, NA, NA, NA,       0.567,    3782.98, 100.00%
unaligned_511x1023x2047_FP16 ,  511, 1023, 2047, tensor, 64, 64, 16, 16, 16,       2.650,     839.25, 22.18%
unaligned_511x1023x2047_FP32 ,  511, 1023, 2047, tensor, 64, 64, 16, 16, 16,       2.004,    1070.72, 28.30%
